##NAMES=Magnesioferrite
##LOCALITY=Langban, Sweden
##RRUFFID=R060869
##CHEMISTRY=MgFe^3+^_2_O_4_
9.133607e+002, 2.131505e+003
9.152891e+002, 2.131202e+003
9.172176e+002, 2.137391e+003
9.191461e+002, 2.149584e+003
9.210745e+002, 2.157691e+003
9.230030e+002, 2.156851e+003
9.249315e+002, 2.155066e+003
9.268599e+002, 2.156169e+003
9.287884e+002, 2.160775e+003
9.307169e+002, 2.165874e+003
9.326453e+002, 2.168907e+003
9.345738e+002, 2.174736e+003
9.365023e+002, 2.188159e+003
9.384307e+002, 2.207634e+003
9.403592e+002, 2.221924e+003
9.422877e+002, 2.226213e+003
9.442161e+002, 2.229807e+003
9.461446e+002, 2.238128e+003
9.480731e+002, 2.250791e+003
9.500015e+002, 2.259735e+003
9.519300e+002, 2.261840e+003
9.538585e+002, 2.263733e+003
9.557869e+002, 2.270811e+003
9.577154e+002, 2.280939e+003
9.596439e+002, 2.278393e+003
9.615723e+002, 2.246946e+003
9.635008e+002, 2.225319e+003
9.654293e+002, 2.233926e+003
9.673577e+002, 2.261362e+003
9.692862e+002, 2.283616e+003
9.712147e+002, 2.300423e+003
9.731431e+002, 2.309870e+003
9.750716e+002, 2.306019e+003
9.770001e+002, 2.295680e+003
9.789285e+002, 2.294876e+003
9.808570e+002, 2.314580e+003
9.827855e+002, 2.330069e+003
9.847139e+002, 2.338108e+003
9.866424e+002, 2.340825e+003
9.885709e+002, 2.341194e+003
9.904993e+002, 2.338840e+003
9.924278e+002, 2.336599e+003
9.943563e+002, 2.334508e+003
9.962847e+002, 2.334031e+003
9.982132e+002, 2.336260e+003
1.000142e+003, 2.341017e+003
1.002070e+003, 2.350092e+003
1.003999e+003, 2.366035e+003
1.005927e+003, 2.383886e+003
1.007856e+003, 2.399729e+003
1.009784e+003, 2.412093e+003
1.011712e+003, 2.424430e+003
1.013641e+003, 2.435173e+003
1.015569e+003, 2.446071e+003
1.017498e+003, 2.458228e+003
1.019426e+003, 2.471554e+003
1.021355e+003, 2.486007e+003
1.023283e+003, 2.507873e+003
1.025212e+003, 2.523155e+003
1.027140e+003, 2.522786e+003
1.029069e+003, 2.508469e+003
1.030997e+003, 2.501926e+003
1.032926e+003, 2.501387e+003
1.034854e+003, 2.511228e+003
1.036782e+003, 2.543050e+003
1.038711e+003, 2.586324e+003
1.040639e+003, 2.607969e+003
1.042568e+003, 2.600647e+003
1.044496e+003, 2.588525e+003
1.046425e+003, 2.570655e+003
1.048353e+003, 2.554882e+003
1.050282e+003, 2.552267e+003
1.052210e+003, 2.566807e+003
1.054139e+003, 2.580864e+003
1.056067e+003, 2.592691e+003
1.057996e+003, 2.601510e+003
1.059924e+003, 2.605859e+003
1.061853e+003, 2.603062e+003
1.063781e+003, 2.602083e+003
1.065709e+003, 2.597524e+003
1.067638e+003, 2.598086e+003
1.069566e+003, 2.612899e+003
1.071495e+003, 2.641037e+003
1.073423e+003, 2.658842e+003
1.075352e+003, 2.656528e+003
1.077280e+003, 2.655307e+003
1.079209e+003, 2.666005e+003
1.081137e+003, 2.685369e+003
1.083066e+003, 2.707289e+003
1.084994e+003, 2.742878e+003
1.086923e+003, 2.759047e+003
1.088851e+003, 2.734175e+003
1.090780e+003, 2.690599e+003
1.092708e+003, 2.665483e+003
1.094637e+003, 2.676363e+003
1.096565e+003, 2.682095e+003
1.098494e+003, 2.675446e+003
1.100422e+003, 2.668831e+003
1.102350e+003, 2.676102e+003
1.104279e+003, 2.697871e+003
1.106207e+003, 2.716503e+003
1.108136e+003, 2.727717e+003
1.110064e+003, 2.737038e+003
1.111993e+003, 2.749539e+003
1.113921e+003, 2.763292e+003
1.115850e+003, 2.766976e+003
1.117778e+003, 2.748751e+003
1.119707e+003, 2.735592e+003
1.121635e+003, 2.736971e+003
1.123564e+003, 2.749093e+003
1.125492e+003, 2.762314e+003
1.127421e+003, 2.778892e+003
1.129349e+003, 2.794255e+003
1.131277e+003, 2.810033e+003
1.133206e+003, 2.823828e+003
1.135134e+003, 2.832440e+003
1.137063e+003, 2.835923e+003
1.138991e+003, 2.837310e+003
1.140920e+003, 2.831597e+003
1.142848e+003, 2.829692e+003
1.144777e+003, 2.839043e+003
1.146705e+003, 2.858045e+003
1.148634e+003, 2.878074e+003
1.150562e+003, 2.902309e+003
1.152491e+003, 2.921449e+003
1.154419e+003, 2.930800e+003
1.156348e+003, 2.933667e+003
1.158276e+003, 2.937261e+003
1.160204e+003, 2.936112e+003
1.162133e+003, 2.943663e+003
1.164061e+003, 2.964612e+003
1.165990e+003, 2.991448e+003
1.167918e+003, 3.018539e+003
1.169847e+003, 3.046092e+003
1.171775e+003, 3.071052e+003
1.173704e+003, 3.092582e+003
1.175632e+003, 3.112181e+003
1.177561e+003, 3.128115e+003
1.179489e+003, 3.142480e+003
1.181418e+003, 3.163091e+003
1.183346e+003, 3.195577e+003
1.185275e+003, 3.221868e+003
1.187203e+003, 3.231147e+003
1.189131e+003, 3.234457e+003
1.191060e+003, 3.246404e+003
1.192988e+003, 3.274629e+003
1.194917e+003, 3.293887e+003
1.196845e+003, 3.296663e+003
1.198774e+003, 3.298761e+003
1.200702e+003, 3.310804e+003
1.202631e+003, 3.332483e+003
1.204559e+003, 3.350240e+003
1.206488e+003, 3.361035e+003
1.208416e+003, 3.371636e+003
1.210345e+003, 3.380308e+003
1.212273e+003, 3.390345e+003
1.214202e+003, 3.409759e+003
1.216130e+003, 3.442004e+003
1.218058e+003, 3.461940e+003
1.219987e+003, 3.461902e+003
1.221915e+003, 3.450098e+003
1.223844e+003, 3.427623e+003
1.225772e+003, 3.394961e+003
1.227701e+003, 3.373756e+003
1.229629e+003, 3.370938e+003
1.231558e+003, 3.373231e+003
1.233486e+003, 3.380097e+003
1.235415e+003, 3.388968e+003
1.237343e+003, 3.395134e+003
1.239272e+003, 3.398240e+003
1.241200e+003, 3.398020e+003
1.243129e+003, 3.389874e+003
1.245057e+003, 3.381786e+003
1.246985e+003, 3.380066e+003
1.248914e+003, 3.383701e+003
1.250842e+003, 3.385489e+003
1.252771e+003, 3.381683e+003
1.254699e+003, 3.381244e+003
1.256628e+003, 3.392784e+003
1.258556e+003, 3.407633e+003
1.260485e+003, 3.414445e+003
1.262413e+003, 3.413277e+003
1.264342e+003, 3.406292e+003
1.266270e+003, 3.385365e+003
1.268199e+003, 3.368332e+003
1.270127e+003, 3.365155e+003
1.272056e+003, 3.375250e+003
1.273984e+003, 3.388008e+003
1.275912e+003, 3.405805e+003
1.277841e+003, 3.421790e+003
1.279769e+003, 3.438207e+003
1.281698e+003, 3.449919e+003
1.283626e+003, 3.447707e+003
1.285555e+003, 3.425302e+003
1.287483e+003, 3.414770e+003
1.289412e+003, 3.433828e+003
1.291340e+003, 3.448629e+003
1.293269e+003, 3.434460e+003
1.295197e+003, 3.404292e+003
1.297126e+003, 3.394386e+003
1.299054e+003, 3.410271e+003
1.300983e+003, 3.429436e+003
1.302911e+003, 3.451619e+003
1.304839e+003, 3.469489e+003
1.306768e+003, 3.476014e+003
1.308696e+003, 3.471892e+003
1.310625e+003, 3.469042e+003
1.312553e+003, 3.465080e+003
1.314482e+003, 3.468811e+003
1.316410e+003, 3.487626e+003
1.318339e+003, 3.513396e+003
1.320267e+003, 3.531978e+003
1.322196e+003, 3.537906e+003
1.324124e+003, 3.547385e+003
1.326053e+003, 3.569415e+003
1.327981e+003, 3.585457e+003
1.329910e+003, 3.579698e+003
1.331838e+003, 3.558274e+003
1.333766e+003, 3.553937e+003
1.335695e+003, 3.581649e+003
1.337623e+003, 3.598369e+003
1.339552e+003, 3.585475e+003
1.341480e+003, 3.568414e+003
1.343409e+003, 3.574790e+003
1.345337e+003, 3.600676e+003
1.347266e+003, 3.608396e+003
1.349194e+003, 3.582161e+003
1.351123e+003, 3.560538e+003
1.353051e+003, 3.565081e+003
1.354980e+003, 3.578852e+003
1.356908e+003, 3.581293e+003
1.358837e+003, 3.571646e+003
1.360765e+003, 3.562413e+003
1.362693e+003, 3.555891e+003
1.364622e+003, 3.550992e+003
1.366550e+003, 3.548867e+003
1.368479e+003, 3.548357e+003
1.370407e+003, 3.545703e+003
1.372336e+003, 3.540347e+003
1.374264e+003, 3.534395e+003
1.376193e+003, 3.525595e+003
1.378121e+003, 3.517860e+003
1.380050e+003, 3.510262e+003
1.381978e+003, 3.503554e+003
1.383907e+003, 3.507534e+003
1.385835e+003, 3.538981e+003
1.387764e+003, 3.555603e+003
1.389692e+003, 3.543514e+003
1.391620e+003, 3.522978e+003
1.393549e+003, 3.512043e+003
1.395477e+003, 3.510885e+003
1.397406e+003, 3.502993e+003
1.399334e+003, 3.482563e+003
1.401263e+003, 3.467504e+003
1.403191e+003, 3.456209e+003
1.405120e+003, 3.457536e+003
1.407048e+003, 3.491751e+003
1.408977e+003, 3.555702e+003
1.410905e+003, 3.591033e+003
1.412834e+003, 3.582898e+003
1.414762e+003, 3.560740e+003
1.416691e+003, 3.525577e+003
1.418619e+003, 3.488869e+003
1.420547e+003, 3.465504e+003
1.422476e+003, 3.456239e+003
1.424404e+003, 3.451627e+003
1.426333e+003, 3.453479e+003
1.428261e+003, 3.455409e+003
1.430190e+003, 3.451382e+003
1.432118e+003, 3.446385e+003
1.434047e+003, 3.451165e+003
1.435975e+003, 3.469529e+003
1.437904e+003, 3.479372e+003
1.439832e+003, 3.467630e+003
1.441761e+003, 3.458642e+003
1.443689e+003, 3.460064e+003
1.445618e+003, 3.471313e+003
1.447546e+003, 3.493473e+003
1.449474e+003, 3.549175e+003
1.451403e+003, 3.569637e+003
1.453331e+003, 3.527680e+003
1.455260e+003, 3.483912e+003
1.457188e+003, 3.463148e+003
1.459117e+003, 3.460347e+003
1.461045e+003, 3.464681e+003
1.462974e+003, 3.482542e+003
1.464902e+003, 3.488948e+003
1.466831e+003, 3.473301e+003
1.468759e+003, 3.454758e+003
1.470688e+003, 3.440365e+003
1.472616e+003, 3.430065e+003
1.474545e+003, 3.422948e+003
1.476473e+003, 3.417743e+003
1.478401e+003, 3.422667e+003
1.480330e+003, 3.453579e+003
1.482258e+003, 3.480090e+003
1.484187e+003, 3.482534e+003
1.486115e+003, 3.471789e+003
1.488044e+003, 3.470092e+003
