##NAMES=Magnesioferrite
##LOCALITY=Langban, Sweden
##RRUFFID=R060869
##CHEMISTRY=MgFe^3+^_2_O_4_
401.6326, 6.446655
402.1147, 3.600769
402.5968, 2.152771
403.0789, 12.02197
403.5610, 18.73969
404.0432, 22.00616
404.5253, 22.48035
405.0074, 20.05231
405.4895, 13.32898
405.9716, 9.062805
406.4537, 9.543701
406.9359, 13.90155
407.4180, 17.19849
407.9001, 19.40039
408.3822, 20.71375
408.8643, 20.74438
409.3464, 19.67444
409.8285, 20.02075
410.3106, 22.80078
410.7928, 26.08636
411.2749, 26.03784
411.7570, 23.00897
412.2391, 20.11957
412.7212, 18.76379
413.2033, 18.87775
413.6855, 21.12830
414.1676, 25.94092
414.6497, 29.92133
415.1318, 28.97443
415.6139, 24.86072
416.0960, 21.00311
416.5782, 19.30780
417.0603, 18.03296
417.5424, 16.23651
418.0245, 13.82007
418.5066, 10.00537
418.9887, 0.2508540
419.4709, 8.980774
419.9530, 11.77539
420.4351, 1.565918
420.9172, 7.987183
421.3993, 12.08087
421.8814, 12.03381
422.3636, 11.24219
422.8457, 10.24866
423.3278, 8.881287
423.8099, 6.696228
424.2920, 2.587952
424.7741, 0.8004150
425.2563, 3.022339
425.7384, 6.972412
426.2205, 9.948120
426.7026, 10.96857
427.1847, 12.68018
427.6668, 16.62274
428.1490, 22.45514
428.6311, 23.42657
429.1132, 17.58173
429.5953, 10.18976
430.0774, 4.664551
430.5595, 0.8944700
431.0417, 0.1956180
431.5238, 2.409485
432.0059, 6.714478
432.4880, 7.115479
432.9701, 3.212036
433.4522, 2.197083
433.9344, 11.28918
434.4165, 27.17114
434.8986, 33.50134
435.3807, 29.09955
435.8628, 22.06287
436.3449, 21.56592
436.8271, 25.56647
437.3092, 27.89435
437.7913, 25.25378
438.2734, 21.04352
438.7555, 20.02094
439.2376, 21.63690
439.7197, 21.93561
440.2018, 16.36499
440.6840, 8.945129
441.1661, 2.985901
441.6482, 1.998291
442.1303, 1.950012
442.6124, 11.53723
443.0945, 30.92847
443.5767, 42.53113
444.0588, 33.75293
444.5409, 23.85315
445.0230, 20.70642
445.5051, 25.23462
445.9872, 30.61896
446.4694, 38.95563
446.9515, 45.86224
447.4336, 47.88379
