PE IR       RAMAN       SPECTRUM    ASCII       PEDS        1.60        	
2752	0.695085
2751	0.691509
2750	0.687122
2749	0.685977
2748	0.686693
2747	0.684404
2746	0.679564
2745	0.675892
2744	0.672602
2743	0.667428
2742	0.662398
2741	0.656628
2740	0.642514
2739	0.619888
2738	0.602221
2737	0.598192
2736	0.598883
2735	0.593781
2734	0.585293
2733	0.578808
2732	0.574302
2731	0.575137
2730	0.588798
2729	0.611352
2728	0.627231
2727	0.628876
2726	0.623011
2725	0.616145
2724	0.608086
2723	0.601553
2722	0.603127
2721	0.613379
2720	0.625753
2719	0.634503
2718	0.636577
2717	0.63014
2716	0.618028
2715	0.609207
2714	0.60904
2713	0.611877
2712	0.609302
2711	0.601458
2710	0.596427
2709	0.599312
2708	0.607299
2707	0.613856
2706	0.616097
2705	0.617051
2704	0.620269
2703	0.62313
2702	0.617718
2701	0.600743
2700	0.580859
2699	0.571846
2698	0.578093
2697	0.588512
2696	0.587177
2695	0.571703
2694	0.558257
2693	0.562715
2692	0.580978
2691	0.596308
2690	0.599908
2689	0.593924
2688	0.582242
2687	0.572896
2686	0.57764
2685	0.595092
2684	0.607609
2683	0.608587
2682	0.614237
2681	0.633621
2680	0.649547
2679	0.644922
2678	0.62747
2677	0.614786
2676	0.612473
2675	0.617623
2674	0.626182
2673	0.63064
2672	0.624346
2671	0.612521
2670	0.606369
2669	0.607299
2668	0.610256
2667	0.617003
2666	0.630354
2665	0.641655
2664	0.640797
2663	0.632905
2662	0.629568
2661	0.629377
2660	0.622153
2659	0.607109
2658	0.594425
2657	0.592088
2656	0.598359
2655	0.604152
2654	0.600814
2653	0.586628
2652	0.567626
2651	0.553226
2650	0.551199
2649	0.558519
2648	0.558519
2647	0.53904
2646	0.512695
2645	0.500392
2644	0.498676
2643	0.487518
2642	0.466799
2641	0.456213
2640	0.460863
2639	0.46482
2638	0.45824
2637	0.446605
2636	0.435185
2635	0.424194
2634	0.416707
2633	0.416064
2632	0.418424
2631	0.417709
2630	0.412225
2629	0.400495
2628	0.380778
2627	0.360798
2626	0.353717
2625	0.358176
2624	0.358319
2623	0.34883
2622	0.341081
2621	0.339674
2620	0.33586
2619	0.329828
2618	0.333809
2617	0.348114
2616	0.356912
2615	0.351333
2614	0.339794
2613	0.332427
2612	0.331521
2611	0.336551
2610	0.345325
2609	0.351548
2608	0.348687
2607	0.336241
2606	0.318598
2605	0.300478
2604	0.284695
2603	0.274467
2602	0.274538
2601	0.285816
2600	0.297188
2599	0.292539
2598	0.270771
2597	0.248384
2596	0.236892
2595	0.232005
2594	0.229263
2593	0.231838
2592	0.23806
2591	0.240993
2590	0.243663
2589	0.253272
2588	0.262784
2587	0.260972
2586	0.256824
2585	0.266265
2584	0.281572
2583	0.284743
2582	0.280475
2581	0.284719
2580	0.293874
2579	0.294589
2578	0.289082
2577	0.284004
2576	0.275397
2575	0.267124
2574	0.277853
2573	0.308251
2572	0.329589
2571	0.323724
2570	0.308418
2569	0.305771
2568	0.310873
2567	0.307011
2566	0.293755
2565	0.284814
2564	0.287461
2563	0.293707
2562	0.291061
2561	0.278282
2560	0.26915
2559	0.27728
2558	0.298404
2557	0.314331
2556	0.315165
2555	0.310111
2554	0.313377
2553	0.324821
2552	0.32916
2551	0.315117
2550	0.290942
2549	0.275611
2548	0.273871
2547	0.274252
2546	0.274825
2545	0.287723
2544	0.310134
2543	0.319838
2542	0.312781
2541	0.311732
2540	0.32463
2539	0.330638
2538	0.320124
2537	0.313591
2536	0.327801
2535	0.353503
2534	0.374364
2533	0.383305
2532	0.378203
2531	0.364089
2530	0.355219
2529	0.356888
2528	0.352692
2527	0.330972
2526	0.308561
2525	0.306224
2524	0.316357
2523	0.319051
2522	0.31166
2521	0.301837
2520	0.290584
2519	0.282788
2518	0.290584
2517	0.308036
2516	0.308799
2515	0.285005
2514	0.260329
2513	0.25289
2512	0.25444
2511	0.25444
2510	0.255036
2509	0.255513
2508	0.249433
2507	0.240683
2506	0.240516
2505	0.248265
2504	0.252079
2503	0.24898
2502	0.248193
2501	0.255179
2500	0.264191
2499	0.268602
2498	0.273132
2497	0.289702
2496	0.319385
2495	0.345635
2494	0.352215
2493	0.341081
2492	0.324964
2491	0.31147
2490	0.303435
2489	0.303435
2488	0.308322
2487	0.310134
2486	0.308918
2485	0.310587
2484	0.310063
2483	0.299024
2482	0.287985
2481	0.292038
2480	0.298595
2479	0.285029
2478	0.261092
2477	0.253272
2476	0.258421
2475	0.258541
2474	0.263643
2473	0.290346
2472	0.319004
2471	0.322771
2470	0.313925
2469	0.317478
2468	0.325775
2467	0.320291
2466	0.309348
2465	0.308203
2464	0.312066
2463	0.314164
2462	0.320315
2461	0.326418
2460	0.31588
2459	0.293183
2458	0.284767
2457	0.297307
2456	0.309181
2455	0.308012
2454	0.305342
2453	0.309514
2452	0.313544
2451	0.313401
2450	0.316977
2449	0.329613
2448	0.342726
2447	0.342726
2446	0.328087
2445	0.3129
2444	0.308418
2443	0.31054
2442	0.313115
2441	0.319719
2440	0.328326
2439	0.322866
2438	0.298643
2437	0.275206
2436	0.266027
2435	0.259709
2434	0.247764
2433	0.241899
2432	0.248527
2431	0.257086
2430	0.263309
2429	0.271701
2428	0.271439
2427	0.249505
2426	0.22633
2425	0.233507
2424	0.261545
2423	0.275588
2422	0.272417
2421	0.271439
2420	0.267195
2419	0.245356
2418	0.224733
2417	0.229048
2416	0.241804
2415	0.23663
2414	0.223016
2413	0.22118
2412	0.225067
2411	0.226712
2410	0.239086
2409	0.263428
2408	0.273513
2407	0.258302
2406	0.241684
2405	0.242352
2404	0.249934
2403	0.253939
2402	0.262379
2401	0.280475
2400	0.295782
2399	0.294566
2398	0.279951
2397	0.266814
2396	0.262784
2395	0.261473
2394	0.257325
2393	0.257515
2392	0.268316
2391	0.278615
2390	0.275325
2389	0.265789
2388	0.265336
2387	0.273013
2386	0.277519
2385	0.27678
2384	0.27635
2383	0.277256
2382	0.278162
2381	0.278139
2380	0.269269
2379	0.245118
2378	0.220561
2377	0.219774
2376	0.239539
2375	0.254058
2374	0.257349
2373	0.26133
2372	0.257825
2371	0.231361
2370	0.203752
2369	0.207924
2368	0.228881
2367	0.231885
2366	0.227713
2365	0.242233
2364	0.254416
2363	0.235438
2362	0.211524
2361	0.21944
2360	0.24271
2359	0.251102
2358	0.255942
2357	0.272488
2356	0.276589
2355	0.246953
2354	0.208163
2353	0.194025
2352	0.203418
2351	0.21553
2350	0.219345
2349	0.214314
2348	0.20523
2347	0.205636
2346	0.226593
2345	0.260066
2344	0.284028
2343	0.284433
2342	0.269794
2341	0.260734
2340	0.266838
2339	0.277566
2338	0.281095
2337	0.279617
2336	0.272917
2335	0.248789
